"","Filename","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","id"
"2116","321.txt",1,33,12.85,27.23,51.41,80.64,11,24.24,84.85,54.55,27.27,21.21,15.15,6.06,0,0,0,6.06,0,15.15,15.15,3.03,3.03,3.03,21.21,3.03,0,0,0,3.03,12.12,6.06,3.03,3.03,0,0,9.09,3.03,0,0,0,12.12,0,3.03,3.03,3.03,3.03,3.03,0,0,0,0,3.03,0,3.03,0,0,15.15,9.09,0,6.06,0,0,3.03,18.18,6.06,6.06,0,3.03,3.03,6.06,3.03,3.03,3.03,0,0,0,0,0,0,0,0,24.24,9.09,3.03,0,0,0,0,0,0,12.12,0,0,321
"2117","2357.txt",1,36,74.89,71.09,39.76,98.27,18,27.78,91.67,58.33,13.89,8.33,2.78,2.78,0,0,2.78,5.56,8.33,19.44,11.11,8.33,0,5.56,16.67,5.56,5.56,0,2.78,0,11.11,8.33,2.78,0,0,2.78,13.89,0,0,0,0,8.33,2.78,0,2.78,0,0,2.78,0,0,0,0,2.78,0,0,0,2.78,8.33,5.56,0,2.78,0,0,5.56,11.11,0,13.89,0,2.78,11.11,0,2.78,0,0,0,0,0,0,0,0,0,0,13.89,5.56,2.78,0,0,0,0,0,0,5.56,0,0,2357
"2118","1886.txt",1,9,74.89,50,98.01,1,9,44.44,88.89,33.33,11.11,0,0,0,0,0,0,11.11,0,11.11,0,0,11.11,0,11.11,11.11,0,0,0,0,33.33,0,33.33,0,0,22.22,0,0,0,0,0,11.11,11.11,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,22.22,0,0,11.11,0,11.11,0,0,0,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,1886
"2119","1138.txt",1,4,1,99,1,25.77,4,25,75,75,50,25,0,25,0,0,0,25,0,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138
"2120","2431.txt",1,52,53.63,50,74.76,1,52,13.46,90.38,55.77,17.31,5.77,1.92,3.85,0,0,0,11.54,5.77,13.46,9.62,5.77,3.85,1.92,28.85,5.77,0,1.92,0,3.85,9.62,1.92,7.69,3.85,0,1.92,5.77,0,0,0,0,13.46,3.85,0,3.85,1.92,3.85,5.77,5.77,3.85,0,1.92,0,0,0,0,0,5.77,3.85,0,1.92,0,0,0,21.15,1.92,17.31,5.77,3.85,7.69,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,1.92,0,0,0,0,0,0,1.92,0,5.77,2431
"2121","2425.txt",1,13,82,99,17.46,25.77,13,23.08,92.31,38.46,23.08,15.38,0,15.38,0,0,0,7.69,0,15.38,0,0,0,0,23.08,0,0,0,0,7.69,0,0,0,0,0,0,30.77,0,0,0,0,15.38,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,38.46,30.77,7.69,7.69,0,0,0,15.38,0,23.08,7.69,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425
"2122","1892.txt",1,12,99,1,98.01,1,12,25,100,66.67,8.33,0,0,0,0,0,0,8.33,16.67,25,0,0,8.33,8.33,0,8.33,0,0,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,25,0,8.33,0,0,0,16.67,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,8.33,0,0,0,0,0,16.67,0,16.67,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,1892
"2123","2343.txt",1,21,1.18,97.14,68.01,95.81,10.5,14.29,100,66.67,14.29,9.52,0,9.52,0,0,0,4.76,4.76,9.52,19.05,14.29,14.29,4.76,33.33,0,0,4.76,0,4.76,4.76,4.76,0,0,0,0,14.29,0,0,0,0,14.29,9.52,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,14.29,9.52,0,4.76,0,0,4.76,28.57,0,14.29,4.76,9.52,4.76,9.52,0,4.76,0,0,0,4.76,0,0,0,4.76,0,14.29,0,4.76,0,0,0,4.76,0,0,4.76,0,0,2343
"2124","1662.txt",1,17,85.18,88.03,28.81,98.87,17,17.65,82.35,47.06,11.76,5.88,0,5.88,0,0,0,5.88,11.76,11.76,0,11.76,5.88,0,11.76,17.65,11.76,0,0,0,5.88,5.88,0,0,0,0,5.88,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,17.65,5.88,5.88,5.88,11.76,0,0,5.88,0,11.76,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,17.65,5.88,11.76,0,0,0,0,0,0,0,0,0,1662
"2125","490.txt",1,41,16.48,83.54,83.44,96.29,20.5,7.32,85.37,51.22,19.51,12.2,0,7.32,4.88,0,0,7.32,2.44,7.32,4.88,2.44,9.76,7.32,14.63,7.32,4.88,2.44,0,12.2,4.88,4.88,0,0,0,0,12.2,0,0,0,0,17.07,2.44,2.44,0,2.44,2.44,7.32,2.44,0,0,2.44,0,0,0,0,0,9.76,7.32,0,2.44,0,0,0,12.2,2.44,17.07,4.88,12.2,4.88,0,0,4.88,0,0,0,0,0,0,0,0,0,9.76,4.88,4.88,0,0,0,0,0,0,0,0,0,490
"2126","1104.txt",1,26,64.27,87.57,94.81,89.84,13,11.54,92.31,61.54,7.69,3.85,0,3.85,0,0,0,3.85,3.85,19.23,11.54,11.54,7.69,0,26.92,0,0,0,0,0,3.85,3.85,0,0,0,0,7.69,0,0,0,0,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,7.69,3.85,0,0,0,3.85,0,15.38,15.38,34.62,11.54,11.54,15.38,0,0,3.85,0,0,0,0,0,0,0,0,0,11.54,0,0,0,0,0,11.54,0,0,0,0,0,1104
"2127","1110.txt",1,15,99,90.87,43.37,99,7.5,13.33,86.67,26.67,0,0,0,0,0,0,0,0,13.33,6.67,0,0,6.67,0,20,0,0,0,0,0,13.33,13.33,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,20,13.33,0,13.33,0,0,0,20,0,20,6.67,20,0,0,0,6.67,0,0,0,0,0,0,0,0,0,20,6.67,6.67,0,0,0,6.67,0,0,0,0,0,1110
"2128","484.txt",1,7,99,7.67,89.63,1,7,14.29,57.14,28.57,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,28.57,14.29,28.57,0,0,0,0,0,14.29,0,14.29,14.29,0,0,0,0,71.43,0,0,0,0,0,0,0,0,14.29,0,57.14,484
"2129","2419.txt",1,28,37.39,96.27,74.76,99,28,10.71,96.43,53.57,10.71,7.14,0,3.57,0,0,3.57,3.57,3.57,14.29,14.29,7.14,10.71,0,17.86,14.29,0,3.57,0,3.57,14.29,10.71,3.57,3.57,0,0,14.29,0,0,0,0,14.29,3.57,3.57,0,3.57,3.57,0,0,0,0,0,7.14,0,3.57,0,0,14.29,10.71,0,3.57,0,0,0,21.43,0,21.43,3.57,10.71,10.71,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,7.14,0,0,0,3.57,3.57,0,0,0,0,2419
"2130","1676.txt",1,47,59.82,58.41,4.23,1,11.75,17.02,87.23,53.19,12.77,2.13,0,2.13,0,0,0,10.64,8.51,10.64,12.77,6.38,2.13,2.13,17.02,10.64,2.13,2.13,2.13,6.38,4.26,0,4.26,0,2.13,0,6.38,0,0,0,0,12.77,0,4.26,2.13,0,4.26,4.26,2.13,2.13,0,0,2.13,0,2.13,0,0,14.89,4.26,2.13,6.38,0,2.13,2.13,12.77,0,8.51,0,6.38,2.13,6.38,0,0,0,0,0,0,0,0,0,0,0,19.15,8.51,8.51,0,0,0,0,2.13,0,0,0,0,1676
"2131","2196.txt",1,14,47.35,76.25,13.15,1,14,28.57,78.57,57.14,7.14,0,0,0,0,0,0,7.14,7.14,14.29,7.14,14.29,14.29,0,21.43,0,0,7.14,0,0,7.14,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,14.29,7.14,14.29,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,0,0,2196
"2132","2182.txt",1,42,67.14,82.96,80.64,25.77,14,16.67,92.86,52.38,14.29,7.14,2.38,4.76,0,0,0,7.14,9.52,11.9,11.9,2.38,7.14,0,26.19,9.52,2.38,0,0,0,4.76,2.38,2.38,2.38,0,0,9.52,0,0,0,0,7.14,2.38,0,0,0,2.38,2.38,4.76,2.38,0,2.38,2.38,0,2.38,0,0,19.05,9.52,4.76,0,2.38,2.38,2.38,21.43,2.38,19.05,4.76,9.52,7.14,0,0,2.38,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,0,0,0,0,0,2182
"2133","679.txt",1,26,32.33,64.99,94.81,1,13,30.77,92.31,50,7.69,7.69,0,3.85,0,0,3.85,0,3.85,11.54,3.85,15.38,15.38,0,19.23,3.85,0,3.85,0,3.85,3.85,0,3.85,0,0,3.85,7.69,0,0,0,0,30.77,11.54,3.85,3.85,3.85,3.85,7.69,3.85,0,0,3.85,3.85,0,0,0,3.85,19.23,3.85,0,11.54,0,3.85,3.85,11.54,3.85,15.38,0,3.85,11.54,3.85,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,679
